Draw Date,Draw#,Numbers,PowerBall,Multiplier,Jackpot,Wins,Ball 1,Ball 2,Ball 3,Ball 4,Ball 5
2010-01-02,886,13-16-19-20-33,6,,1284115.8,0.0,13,16,19,20,33
2010-01-06,887,20-28-32-33-36,7,,1632897.18,1.0,20,28,32,33,36
2010-01-09,888,2-7-9-15-23,8,,,,2,7,9,15,23
2010-01-13,889,3-6-7-21-26,9,,1000000.0,0.0,3,6,7,21,26
2010-01-16,890,8-19-22-23-26,6,,1000000.0,0.0,8,19,22,23,26
2010-01-20,891,7-9-19-23-31,1,,1269467.4,0.0,7,9,19,23,31
2010-01-23,892,5-10-15-27-32,9,,1637925.17,0.0,5,10,15,27,32
2010-01-27,893,4-5-11-13-30,3,,1953430.36,0.0,4,5,11,13,30
2010-01-30,894,10-11-21-29-32,6,,2415959.68,0.0,10,11,21,29,32
2010-02-03,895,2-4-9-25-31,1,,2807774.04,0.0,2,4,9,25,31
2010-02-06,896,2-3-9-15-31,2,,3350300.41,0.0,2,3,9,15,31
2010-02-10,897,10-14-19-28-29,10,,3869471.57,0.0,10,14,19,28,29
2010-02-13,898,1-13-15-23-32,8,,4544673.13,0.0,1,13,15,23,32
2010-02-17,899,1-8-9-16-23,1,,4989256.79,0.0,1,8,9,16,23
2010-02-20,900,2-9-13-20-27,9,,5861844.84,0.0,2,9,13,20,27
2010-02-24,901,8-18-23-26-34,1,,6833373.5,0.0,8,18,23,26,34
2010-02-27,902,1-4-28-32-36,8,,8220558.83,0.0,1,4,28,32,36
2010-03-03,903,4-5-17-21-25,2,,9784298.21,2.0,4,5,17,21,25
2010-03-06,904,7-9-16-21-35,6,,413835.76,0.0,7,9,16,21,35
2010-03-10,905,5-8-13-14-34,3,,722409.72,0.0,5,8,13,14,34
2010-03-13,906,4-16-23-28-36,7,,1121261.14,0.0,4,16,23,28,36
2010-03-17,907,7-9-11-14-26,5,,1450578.35,0.0,7,9,11,14,26
2010-03-20,908,5-14-23-28-32,5,,1889070.78,1.0,5,14,23,28,32
2010-03-24,909,17-18-25-26-30,5,,1000000.0,0.0,17,18,25,26,30
2010-03-27,910,11-15-25-29-33,9,,615311.91,0.0,11,15,25,29,33
2010-03-31,911,4-16-23-28-33,2,,1000000.0,0.0,4,16,23,28,33
2010-04-03,912,7-12-21-27-32,6,,1205111.23,0.0,7,12,21,27,32
2010-04-07,913,4-9-20-30-32,5,,1486809.15,0.0,4,9,20,30,32
2010-04-10,914,4-10-24-33-34,2,,1857921.78,0.0,4,10,24,33,34
2010-04-14,915,5-6-17-21-26,5,,2164125.4,1.0,5,6,17,21,26
2010-04-17,916,11-17-23-24-36,2,,1000000.0,0.0,11,17,23,24,36
2010-04-21,917,4-6-17-28-34,5,,1000000.0,0.0,4,6,17,28,34
2010-04-24,918,1-7-9-10-31,4,,1000000.0,0.0,1,7,9,10,31
2010-04-28,919,9-24-32-33-36,2,,1117150.42,0.0,9,24,32,33,36
2010-05-01,920,4-6-8-10-17,2,,1452219.06,0.0,4,6,8,10,17
2010-05-05,921,6-16-22-25-27,1,,1721036.61,0.0,6,16,22,25,27
2010-05-08,922,14-19-20-22-24,9,,2060706.49,0.0,14,19,20,22,24
2010-05-12,923,2-3-12-16-17,3,,2342171.22,0.0,2,3,12,16,17
2010-05-15,924,1-2-7-25-28,4,,2763082.42,0.0,1,2,7,25,28
2010-05-19,925,4-8-22-26-35,4,,3128804.69,0.0,4,8,22,26,35
2010-05-22,926,9-21-23-24-30,9,,3565026.73,0.0,9,21,23,24,30
2010-05-26,927,5-12-23-28-34,6,,3993180.86,0.0,5,12,23,28,34
2010-05-29,928,1-7-25-31-33,3,,4599012.62,0.0,1,7,25,31,33
2010-06-02,929,3-13-14-31-34,2,,5170673.15,0.0,3,13,14,31,34
2010-06-05,930,5-8-10-12-27,2,,5860501.78,0.0,5,8,10,12,27
2010-06-09,931,4-7-19-21-30,7,,6637471.35,0.0,4,7,19,21,30
2010-06-12,932,3-4-5-10-13,10,,7.0,1.0,3,4,5,10,13
2010-06-16,933,11-16-25-27-35,5,,,,11,16,25,27,35
2010-06-19,934,1-12-17-21-32,3,,1000000.0,0.0,1,12,17,21,32
2010-06-23,935,2-11-16-27-31,8,,1000000.0,0.0,2,11,16,27,31
2010-06-26,936,11-17-21-33-35,3,,1202421.08,0.0,11,17,21,33,35
2010-06-30,937,6-26-33-34-36,6,,1490055.08,0.0,6,26,33,34,36
2010-07-03,938,3-17-31-34-35,7,,1867266.97,0.0,3,17,31,34,35
2010-07-07,939,5-7-15-30-34,9,,2166736.16,0.0,5,7,15,30,34
2010-07-10,940,6-20-26-28-31,10,,2565810.69,0.0,6,20,26,28,31
2010-07-14,941,1-11-21-30-33,3,,2800000.0,0.0,1,11,21,30,33
2010-07-17,942,10-20-21-31-36,8,,3334618.47,0.0,10,20,21,31,36
2010-07-21,943,2-16-23-31-36,8,,3719582.66,0.0,2,16,23,31,36
2010-07-24,944,1-25-28-31-36,1,,4249461.48,0.0,1,25,28,31,36
2010-07-28,945,2-22-24-27-28,6,,4713274.98,0.0,2,22,24,27,28
2010-07-31,946,4-5-20-28-34,9,,5379363.32,0.0,4,5,20,28,34
2010-08-04,947,3-4-5-32-34,5,,5987288.46,0.0,3,4,5,32,34
2010-08-07,948,2-12-19-27-34,2,,6.0,0.0,2,12,19,27,34
2010-08-11,949,6-23-24-27-32,10,,7.0,0.0,6,23,24,27,32
2010-08-14,950,2-3-16-24-30,9,,8740155.05,0.0,2,3,16,24,30
2010-08-18,951,3-5-9-13-28,7,,9896222.15,0.0,3,5,9,13,28
2010-08-21,952,4-7-22-29-32,3,,11414408.04,0.0,4,7,22,29,32
2010-08-25,953,6-11-12-27-35,3,,13087304.3,1.0,6,11,12,27,35
2010-08-28,954,5-6-25-26-27,3,,1000000.0,0.0,5,6,25,26,27
2010-09-01,955,11-15-23-25-28,9,,1000000.0,0.0,11,15,23,25,28
2010-09-04,956,8-16-23-34-35,6,,1045861.03,0.0,8,16,23,34,35
2010-09-08,957,1-4-8-21-26,5,,1.0,0.0,1,4,8,21,26
2010-09-11,958,5-10-21-23-28,10,,1695180.35,0.0,5,10,21,23,28
2010-09-15,959,2-3-8-27-31,6,,1999535.43,0.0,2,3,8,27,31
2010-09-18,960,3-5-15-19-27,4,,2395873.38,0.0,3,5,15,19,27
2010-09-22,961,1-7-23-25-33,3,,2703578.26,0.0,1,7,23,25,33
2010-09-25,962,8-16-19-23-27,2,,3.0,0.0,8,16,19,23,27
2010-09-29,963,2-9-22-25-35,10,,3.0,0.0,2,9,22,25,35
2010-10-02,964,10-23-31-32-36,2,,3951015.0,0.0,10,23,31,32,36
2010-10-06,965,2-9-12-13-32,4,,4382289.23,0.0,2,9,12,13,32
